continent,date,new_cases_smoothed_per_million
Asia,2/24/2020,
Asia,2/25/2020,
Asia,2/26/2020,
Asia,2/27/2020,
Asia,2/28/2020,
Asia,2/29/2020,0.018
Asia,3/1/2020,0.018
Asia,3/2/2020,0
Asia,3/3/2020,0
Asia,3/4/2020,0
Asia,3/5/2020,0
Asia,3/6/2020,0
Asia,3/7/2020,0.011
Asia,3/8/2020,0.011
Asia,3/9/2020,0.011
Asia,3/10/2020,0.011
Asia,3/11/2020,0.022
Asia,3/12/2020,0.022
Asia,3/13/2020,0.022
Asia,3/14/2020,0.022
Asia,3/15/2020,0.043
Asia,3/16/2020,0.061
Asia,3/17/2020,0.065
Asia,3/18/2020,0.054
Asia,3/19/2020,0.054
Asia,3/20/2020,0.047
Asia,3/21/2020,0.036
Asia,3/22/2020,0.05
Asia,3/23/2020,0.054
Asia,3/24/2020,0.057
Asia,3/25/2020,0.172
Asia,3/26/2020,0.194
Asia,3/27/2020,0.24
Asia,3/28/2020,0.294
Asia,3/29/2020,0.287
Asia,3/30/2020,0.265
Asia,3/31/2020,0.445
Asia,4/1/2020,0.423
Asia,4/2/2020,0.556
Asia,4/3/2020,0.638
Asia,4/4/2020,0.588
Asia,4/5/2020,0.663
Asia,4/6/2020,0.8
Asia,4/7/2020,0.721
Asia,4/8/2020,0.828
Asia,4/9/2020,0.75
Asia,4/10/2020,0.904
Asia,4/11/2020,0.9
Asia,4/12/2020,0.918
Asia,4/13/2020,0.968
Asia,4/14/2020,1.069
Asia,4/15/2020,1.244
Asia,4/16/2020,1.255
Asia,4/17/2020,1.162
Asia,4/18/2020,1.388
Asia,4/19/2020,1.356
Asia,4/20/2020,1.395
Asia,4/21/2020,1.295
Asia,4/22/2020,1.155
Asia,4/23/2020,1.37
Asia,4/24/2020,1.366
Asia,4/25/2020,1.513
Asia,4/26/2020,1.901
Asia,4/27/2020,1.919
Asia,4/28/2020,2.428
Asia,4/29/2020,2.636
Asia,4/30/2020,2.335
Asia,5/1/2020,3.389
Asia,5/2/2020,4.085
Asia,5/3/2020,3.608
Asia,5/4/2020,3.364
Asia,5/5/2020,2.747
Asia,5/6/2020,5.01
Asia,5/7/2020,5.612
Asia,5/8/2020,4.992
Asia,5/9/2020,3.923
Asia,5/10/2020,6.932
Asia,5/11/2020,7.872
Asia,5/12/2020,8.958
Asia,5/13/2020,6.251
Asia,5/14/2020,6.982
Asia,5/15/2020,8.93
Asia,5/16/2020,10.181
Asia,5/17/2020,8.008
Asia,5/18/2020,8.636
Asia,5/19/2020,9.64
Asia,5/20/2020,11.397
Asia,5/21/2020,11.967
Asia,5/22/2020,11.343
Asia,5/23/2020,12.731
Asia,5/24/2020,14.463
Asia,5/25/2020,14.732
Asia,5/26/2020,15.284
Asia,5/27/2020,15.492
Asia,5/28/2020,15.872
Asia,5/29/2020,16.242
Asia,5/30/2020,16.414
Asia,5/31/2020,16.181
Asia,6/1/2020,16.697
Asia,6/2/2020,16.715
Asia,6/3/2020,17.529
Asia,6/4/2020,17.483
Asia,6/5/2020,19.043
Asia,6/6/2020,18.318
Asia,6/7/2020,18.82
Asia,6/8/2020,18.53
Asia,6/9/2020,16.963
Asia,6/10/2020,17.483
Asia,6/11/2020,17.927
Asia,6/12/2020,16.414
Asia,6/13/2020,16.321
Asia,6/14/2020,15.865
Asia,6/15/2020,16.532
Asia,6/16/2020,15.819
Asia,6/17/2020,16.97
Asia,6/18/2020,15.948
Asia,6/19/2020,15.535
Asia,6/20/2020,15.044
Asia,6/21/2020,14.585
Asia,6/22/2020,12.968
Asia,6/23/2020,13.8
Asia,6/24/2020,9.919
Asia,6/25/2020,10.178
Asia,6/26/2020,8.542
Asia,6/27/2020,8.316
Asia,6/28/2020,7.653
Asia,6/29/2020,7.513
Asia,6/30/2020,6.735
Asia,7/1/2020,7.61
Asia,7/2/2020,6.624
Asia,7/3/2020,7.402
Asia,7/4/2020,7.373
Asia,7/5/2020,7.115
Asia,7/6/2020,6.548
Asia,7/7/2020,7.262
Asia,7/8/2020,6.57
Asia,7/9/2020,5.849
Asia,7/10/2020,6.706
Asia,7/11/2020,6.021
Asia,7/12/2020,5.379
Asia,7/13/2020,4.988
Asia,7/14/2020,4.863
Asia,7/15/2020,4.827
Asia,7/16/2020,5.082
Asia,7/17/2020,3.712
Asia,7/18/2020,3.364
Asia,7/19/2020,3.672
